document_type,lead_paragraph,web_url,publication_date
article,"One day soon, in the artificial-intelligence-powered future, a vacation might start by telling your smartphone something like this: “I want to take a four-day trip to Los Angeles in June, whenever airfares and hotel rates are best, using loyalty rewards points. I want to hit a history museum and an amusement park — and then I’d like 7 p.m. dinner reservations near the hotel at a restaurant with vegan options and a great wine list.” And your phone spits out the perfect itinerary.",https://www.nytimes.com/2023/03/16/travel/chatgpt-artificial-intelligence-travel-vacation.html,2023-03-16T09:00:12+0000
article,"Welcome to On Tech: A.I., a pop-up newsletter that will teach you about artificial intelligence, especially the new breed of chatbots like ChatGPT — all in only five days.",https://www.nytimes.com/article/ai-artificial-intelligence-chatbot.html,2023-03-27T16:35:10+0000
article,"We’ve compiled a list of phrases and concepts useful to understanding artificial intelligence, in particular the new breed of A.I.-enabled chatbots like ChatGPT, Bing and Bard.",https://www.nytimes.com/article/ai-artificial-intelligence-glossary.html,2023-03-27T16:04:04+0000
article,"Mind reading is common among us humans. Not in the ways that psychics claim to do it, by gaining access to the warm streams of consciousness that fill every individual’s experience, or in the ways that mentalists claim to do it, by pulling a thought out of your head at will. Everyday mind reading is more subtle: We take in people’s faces and movements, listen to their words and then decide or intuit what might be going on in their heads.",https://www.nytimes.com/2023/03/27/science/ai-machine-learning-chatbots.html,2023-03-27T15:42:27+0000
article,"“It’s different because it’s Google.” Bard, Google’s answer to ChatGPT, could prove to be more consequential than any large language model to date — but it isn’t there yet.",https://www.nytimes.com/2023/03/24/podcasts/hard-fork-bard.html,2023-03-24T09:00:11+0000
article,"Imagine that as you are boarding an airplane, half the engineers who built it tell you there is a 10 percent chance the plane will crash, killing you and everyone else on it. Would you still board?",https://www.nytimes.com/2023/03/24/opinion/yuval-harari-ai-chatgpt.html,2023-03-24T09:00:35+0000
article,"Character.AI, a 16-month-old start-up that builds online chatbots, said on Thursday that it had raised $150 million in a recent funding round that valued the company at $1 billion.",https://www.nytimes.com/2023/03/23/technology/chatbot-characterai-chatgpt-valuation.html,2023-03-23T09:00:18+0000
article,"Jorge Luis Borges once wrote that to live in a time of great peril and promise is to experience both tragedy and comedy, with “the imminence of a revelation” in understanding ourselves and the world. Today our supposedly revolutionary advancements in artificial intelligence are indeed cause for both concern and optimism. Optimism because intelligence is the means by which we solve problems. Concern because we fear that the most popular and fashionable strain of A.I. — machine learning — will degrade our science and debase our ethics by incorporating into our technology a fundamentally flawed conception of language and knowledge.",https://www.nytimes.com/2023/03/08/opinion/noam-chomsky-chatgpt-ai.html,2023-03-08T10:00:25+0000
article,"When ChatGPT exploded in popularity as a tool using artificial intelligence to draft complex texts, David Rozado decided to test its potential for bias. A data scientist in New Zealand, he subjected the chatbot to a series of quizzes, searching for signs of political orientation.",https://www.nytimes.com/2023/03/22/business/media/ai-chatbots-right-wing-conservative.html,2023-03-22T09:00:53+0000
article,The race is on. Companies are pouring billions of dollars into powerful online chatbots and finding new ways to integrate them into our daily lives.,https://www.nytimes.com/2023/03/22/well/family/ai-chatgpt-parents-children.html,2023-03-22T12:59:29+0000
article,"I had a most remarkable but unsettling experience last week. Craig Mundie, the former chief research and strategy officer for Microsoft, was giving me a demonstration of GPT-4, the most advanced version of the artificial intelligence chatbot ChatGPT, developed by OpenAI and launched in November. Craig was preparing to brief the board of my wife’s museum, Planet Word, of which he is a member, about the effect ChatGPT will have on words, language and innovation.",https://www.nytimes.com/2023/03/21/opinion/artificial-intelligence-chatgpt.html,2023-03-21T23:00:08+0000
article,"Google has released a new chatbot, Bard, and has shared the experimental technology with a limited number of people in the United States and Britain.",https://www.nytimes.com/2023/03/21/technology/google-bard-guide-test.html,2023-03-21T20:11:14+0000
article,"For more than three months, Google executives have watched as projects at Microsoft and a San Francisco start-up called OpenAI have stoked the public’s imagination with the potential for artificial intelligence.",https://www.nytimes.com/2023/03/21/technology/google-bard-chatbot.html,2023-03-21T14:00:10+0000
article,"For the first time in more than 40 years, Alan Alda and Mike Farrell sat down for a table read of a new scene of “M*A*S*H,” stepping into their old roles of Hawkeye Pierce and B.J. Hunnicutt, two bantering doctors in a Korean War mobile surgical unit.",https://www.nytimes.com/2023/03/07/arts/television/mash-chatgpt-alan-alda.html,2023-03-07T23:31:36+0000
article,"OpenAI last week released its most powerful language model yet: GPT-4, which vastly outperforms its predecessor GPT-3.5 on a variety of tasks.",https://www.nytimes.com/2023/03/21/opinion/ezra-klein-podcast-kelsey-piper.html,2023-03-21T09:00:10+0000
article,"SAN FRANCISCO — When Aaron Levie, the chief executive of Box, tried a new A.I. chatbot called ChatGPT in early December, it didn’t take him long to declare, “We need people on this!”",https://www.nytimes.com/2023/03/08/technology/chatbots-disrupt-internet-industry.html,2023-03-08T08:00:11+0000
article,"It’s acing standardized tests, building websites and hiring TaskRabbits — GPT-4 is “equal parts fascinating and terrifying.” OpenAI has released its latest model, alongside A.I. announcements from Meta, Google and other industry players. The A.I. arms race is only accelerating.",https://www.nytimes.com/2023/03/17/podcasts/hard-fork-gpt-4.html,2023-03-17T09:00:10+0000
article,"For all the talk about the transformative nature of new technology called generative artificial intelligence, some of the earlier commercial uses may be far more prosaic: formatting a PowerPoint slide, summarizing a call or writing to-do lists.",https://www.nytimes.com/2023/03/16/technology/microsoft-google-ai-tools-businesses.html,2023-03-16T21:43:59+0000
multimedia,We asked Microsoft’s Bing to make its own N.C.A.A. tournament picks. And asked again. And asked some more.,https://www.nytimes.com/interactive/2023/sports/ncaabasketball/bing-ai-march-madness-predictions.html,2023-03-15T23:01:44+0000
article,"When I opened my laptop on Tuesday to take my first run at GPT-4, the new artificial intelligence language model from OpenAI, I was, truth be told, a little nervous.",https://www.nytimes.com/2023/03/15/technology/gpt-4-artificial-intelligence-openai.html,2023-03-15T19:19:19+0000
article,"On a rainy Tuesday in San Francisco, Apple executives took the stage in a crowded auditorium to unveil the fifth-generation iPhone. The phone, which looked identical to the previous version, had a new feature that the audience was soon buzzing about: Siri, a virtual assistant.",https://www.nytimes.com/2023/03/15/technology/siri-alexa-google-assistant-artificial-intelligence.html,2023-03-15T09:00:28+0000
